calculation time;drawing time
391,327;30,5081
395,253;22,1643
340,337;24,8057
347,076;22,6832
327,113;21,0735
320,169;21,0334
344,684;22,2968
333,901;21,3564
342,958;21,4337
354,307;21,6979
325,823;23,0659
347,797;25,1154
355,287;31,626
348,61;21,4392
330,465;21,37
324,723;21,7559
331,546;21,6408
328,525;21,2633
332,098;21,0791
314,064;20,9778
334,78;23,2544
325,436;22,6009
343,511;22,4898
352,325;25,6313
346,284;20,8531
327,845;22,9472
326,79;20,509
319,926;20,4523
320,417;21,0007
325,892;22,0827
326,357;21,3167
358,033;22,3512
330,034;21,8087
327,841;21,6011
326,475;22,8217
330,029;20,9638
325,452;21,1898
330,294;22,1271
329,51;21,8805
320,255;20,7615
322,689;21,5661
316,824;21,3045
320,551;23,0463
328,164;20,7747
325,215;21,0206
327,256;21,5638
324,747;20,6909
323,701;21,2833
322,747;22,584
322,96;21,0222
327,026;21,1452
322,499;21,1117
321,469;21,1013
330,249;21,1314
326,235;22,2315
318,245;20,6235
321,855;20,4867
327,713;22,5465
335,761;21,0683
319,905;20,8853
335,353;20,9971
325,095;21,8939
324,017;21,3823
330,439;20,5862
329,653;21,075
323,97;21,1848
318,842;21,5681
330,369;21,385
343,895;20,9194
329,28;23,1797
328,809;21,3002
333,834;20,9534
335,728;20,822
326,66;20,4702
317,081;21,895
320,679;21,7349
322,849;21,7774
329,456;21,1088
329,732;21,775
311,14;20,9992
323,231;21,0876
327,134;20,9096
322,27;22,3847
348,977;22,475
330,081;22,1306
328,066;21,7631
329,27;21,5792
320,92;21,4746
317,88;21,025
334,017;22,648
328,216;21,2431
327,619;21,052
322,884;21,1517
520,546;28,4729
495,013;23,4074
394,281;23,9665
332,287;21,8374
327,906;21,0434
344,308;24,1305
340,645;21,7891
340,376;21,7684
382,493;21,963
335,49;20,803
316,285;20,8833
359,954;22,2956
349,593;20,9712
340,551;23,391
372,877;22,7274
361,738;23,237
362,18;22,2864
369,244;21,4686
362,813;23,5978
366,413;21,0659
369,067;23,8341
378,218;24,4484
375,576;24,5036
386,376;22,8494
374,214;22,9416
383,706;27,5216
395,147;31,5087
416,774;29,9228
412,746;32,1738
392,072;24,5524
362,201;22,9117
365,57;21,3057
404,555;24,4526
381,1;21,487
385,115;28,015
388,022;22,7612
376,04;23,4357
421,822;32,4024
360,944;23,0958
324,639;21,1102
324,878;21,0943
326,787;21,4386
335,927;21,0731
325,522;24,6397
349,238;22,4782
366,485;25,1934
362,597;20,9348
332,307;21,4711
325,393;20,6582
323,016;20,9695
321,13;20,1542
326,935;21,1427
326,521;20,6701
321,256;20,4302
340,617;22,5414
338,113;21,0646
331,917;20,9133
334,835;20,9313
327,427;21,4659
327,171;20,7326
319,699;21,324
324,103;21,9528
320,826;20,4671
314,531;25,0125
340,503;21,6326
333,078;21,3169
325,447;21,4818
323,346;20,9101
323,969;22,0613
325,629;20,8366
324,346;21,4972
333,764;20,711
326,892;20,6689
331,783;21,0321
323,601;20,365
325,319;21,4867
329,33;21,0725
318,896;27,9344
325,248;21,7777
327,446;20,6903
323,01;20,9023
333,031;20,7256
324,411;20,8437
325,958;21,4984
346,096;21,0587
320,891;21,5414
335,614;23,0384
350,547;21,284
320,525;21,7011
323,898;21,4438
318,681;20,6353
325,898;20,633
314,698;20,4116
319,193;20,8995
340,389;20,8076
328,451;20,9426
318,977;21,3224
331,554;22,5661
328,497;21,0636
324,954;22,0261
322,313;20,7742
329,205;21,6075
321,514;21,0041
324,02;22,3583
333,501;21,3239
332,287;21,1464
325,698;20,447
324,712;21,2692
323,188;20,8938
323,486;20,9916
332,977;20,8063
325,104;21,7034
319,118;23,5286
323,919;20,7104
320,504;20,6616
325,08;20,9841
330,43;21,4718
319,505;21,6803
328,814;21,946
322,538;21,0455
323,297;22,4519
319,926;21,3491
324,427;21,3128
325,752;20,8418
337,297;21,2375
330,029;21,3379
323,72;21,4955
323,449;21,3233
317,977;21,2115
326,748;22,5031
334,829;21,1784
332,281;21,1796
332,941;21,9337
323,79;20,9879
319,728;20,5214
323,611;21,6574
329,109;21,9345
330,563;20,6308
318,608;21,3958
332,351;21,3117
319,305;21,0215
328,493;21,133
315,743;21,6579
335,841;21,0401
329,858;22,0594
323,958;21,6149
332,541;20,7073
336,637;21,3277
321,366;21,1673
328,968;21,0682
325,25;21,9363
330,027;20,9645
324,829;21,3465
319,016;21,1414
316,579;21,4316
336,682;21,4308
323,284;21,0329
325,44;24,8146
331,24;20,7865
323,372;21,4846
323,64;20,9411
318,931;20,6212
325,367;21,8152
327,91;21,576
330,74;20,9559
334,192;24,098
336,621;21,2308
325,131;21,2649
331,892;20,9038
335,724;22,5068
338,318;21,1803
327,258;21,0213
329,555;23,7076
327,305;22,8781
325,132;20,4623
333,613;21,0585
324,607;20,8837
327,003;22,1675
331,82;21,2475
356,533;24,1271
357,962;21,3202
324,948;23,4348
330,614;20,7637
329,036;21,1943
338,287;21,6641
330,611;21,0847
323,855;21,3204
322,261;20,7903
323,555;20,8953
322,833;21,7503
321,311;20,8744
321,327;20,8517
328,981;21,6341
322,305;21,4265
332,658;21,9732
330,466;21,6982
322,267;21,7257
333,955;21,4249
329,949;21,2553
320,359;21,1972
325,515;21,0785
321,653;20,9341
328,302;21,5957
325,823;20,866
321,561;21,3884
314,872;22,0017
335,267;21,4531
324,534;21,1368
324,051;21,0649
324,456;20,935
330,716;20,9903
321,113;21,2703
329,624;21,7919
328,613;20,6332
322,01;21,3025
327,257;21,2096
311,758;21,1273
312,993;20,4847
330,175;21,8673
334,095;20,6203
329,594;21,5517
321,807;21,3369
322,197;20,9743
336,706;21,3874
316,586;21,2431
323,324;20,9091
325,251;22,2983
325,544;20,6465
323,318;20,7694
332,536;21,4368
334,804;20,7086
333,59;21,3058
331,128;21,9222
319,866;20,9686
321,002;21,6396
339,292;21,6952
328,005;21,0451
326,528;23,7096
335,784;20,4236
325,797;20,8536
328,036;20,4492
328,345;20,4672
322,646;20,5268
326,675;21,1838
323,409;20,8842
330,556;20,9568
323,089;20,6203
323,277;22,1283
329,656;20,3963
322,632;21,0028
321,669;20,8431
311,97;20,6041
339,587;21,4568
326,486;21,5634
327,909;21,011
337,123;22,2597
338,951;21,1043
330,847;21,3493
338,1;21,1953
329,071;20,4635
325,868;21,4796
319,401;21,5031
324,806;21,0975
327,032;21,3065
323,966;22,2167
330,94;21,1766
327,585;20,9269
320,061;21,2565
313,487;20,4888
314,612;20,7054
324,722;21,7672
321,184;21,2251
325,776;21,1481
319,823;20,5748
319,789;20,4484
318,164;21,0711
326,159;20,8443
316,533;21,5957
345,956;21,3849
332,778;21,4094
324,262;22,0889
328,034;21,3176
319,192;20,9486
328,837;21,4204
328,078;21,1402
316,37;21,01
323,381;20,9828
338,23;24,6611
320,419;21,5292
323,065;20,7639
330,552;21,3353
329,149;20,8355
322,444;20,7995
324,338;21,7319
325,904;20,7869
324,333;22,0713
320,474;24,2096
330,213;21,157
331,902;21,309
326,668;21,2575
323,507;21,9047
329,709;21,3058
326,781;21,9866
324,294;21,4746
323,762;22,0044
323,816;21,1218
328,97;22,6565
332,505;22,2331
327,757;21,4029
327,41;20,9076
330,18;21,8925
328,517;20,5815
340,002;22,6119
325,855;21,7094
324,951;20,5681
324,075;21,3019
334,82;20,6227
338,635;21,5843
329,289;21,0754
328,601;22,4076
336,277;20,7188
319,628;20,8462
320,776;20,568
325,298;21,1713
318,998;20,3197
316,101;20,8941
324,21;21,4053
323,119;20,7408
324,188;21,0161
327,036;20,6476
336,913;21,6908
323,957;22,5683
339,679;21,8052
324,375;22,844
321,946;20,9417
319,385;20,9864
325,912;20,2243
324,555;21,2852
321,734;21,666
329,891;21,0726
