calculation time;drawing time
20.0076;36.5813
6.9936;179.87
6.6612;21.0875
6.6283;18.948
6.6585;18.3857
6.8575;18.4653
6.9376;18.2588
7.269;17.4526
6.749;17.564
6.8123;17.9181
6.7198;18.5331
6.6999;18.2258
6.9837;18.4761
6.8393;18.1375
6.9387;17.9201
7.0202;17.5767
7.2331;17.7978
6.8405;18.4902
7.0652;18.448
7.1374;18.3931
7.0145;18.4956
7.1161;19.53
6.8512;19.4292
7.0434;18.1265
6.7868;17.2462
7.0304;17.6568
6.755;17.4015
6.6954;17.9815
6.6415;17.4421
7.4141;17.0689
7.5788;17.3609
6.8651;17.0264
6.7825;17.5688
7.5965;18.3355
7.23;17.8007
6.9301;17.7141
6.8567;17.1977
7.2106;17.9866
6.6789;18.8593
7.4424;18.1754
7.0633;18.6643
6.6006;18.7359
7.264;18.0052
6.7574;17.4939
7.1237;18.3106
6.9017;17.1538
7.652;17.0129
7.8887;20.5471
6.641;18.4314
6.7761;17.7316
6.8616;17.9484
6.8446;18.825
6.6319;17.7033
6.8644;17.4039
6.7398;17.2189
6.6114;18.4562
6.6857;18.2732
6.7885;17.877
6.7443;17.8909
7.0327;18.8981
6.6687;17.6132
7.2157;18.7429
7.2373;18.2571
7.2103;18.3438
7.2133;18.0776
7.5055;18.0718
7.6358;17.8227
7.29;17.7378
7.1784;17.9711
7.3468;19.0087
7.4841;18.4365
7.1302;18.2369
7.3236;18.2659
7.2581;17.7314
7.872;18.7659
8.9828;18.2098
7.9183;17.5921
7.5089;17.7114
7.0714;18.267
6.9183;17.9103
7.0861;18.0486
6.9939;18.2549
7.1661;17.2526
7.0248;17.8036
7.6954;18.7124
7.3637;18.7387
6.9804;17.743
6.7627;18.0964
6.9388;17.9929
7.1616;17.5521
7.2974;19.2276
6.775;17.7204
7.0222;18.1195
6.7522;18.5186
6.7577;17.8088
7.0475;17.2724
6.9746;22.4754
6.9243;18.8048
6.5875;20.291
7.2725;20.5997
6.8907;23.4986
7.3575;20.2686
7.3469;19.008
6.9369;17.6624
6.9351;19.0521
6.732;18.3799
6.8252;18.0918
6.7646;17.6095
6.9775;19.4533
6.6504;18.0089
6.9459;19.4435
7.2332;18.4847
6.6496;18.0085
6.6844;17.7562
6.7485;18.8108
6.6459;19.1491
6.9303;19.4035
6.7384;18.1148
6.7928;18.6873
6.6881;18.3066
6.4491;20.424
6.7088;19.7268
6.4282;17.8382
6.9079;17.9558
6.7482;18.1746
6.4131;18.597
6.3236;18.111
6.7073;18.4393
6.547;19.1307
6.4044;18.2919
6.8302;17.7627
6.6114;18.4406
6.8847;20.8408
6.8648;20.3078
7.3424;19.9258
6.9573;19.5812
6.6893;19.7317
